rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,t30_change,db_t30_change,hit_result,status,base_date,base_price,t30_date,t30_price
15,COIN,2023,4,2024-02-15,GAINER,AMC,UP,0.8,36.34,48.3914,HIT,success,2024-02-16,180.31,2024-04-02,245.84
21,VST,2024,2,2024-08-08,GAINER,BMO,UP,0.8,36.42,45.8824,HIT,success,2024-08-08,79.08,2024-09-20,107.88
24,MU,2025,4,2025-09-23,GAINER,AMC,UP,0.9,46.87,42.7198,HIT,success,2025-09-24,161.71,2025-11-05,237.5
22,CEG,2023,4,2024-02-27,GAINER,BMO,UP,0.8,22.68,43.4319,HIT,success,2024-02-27,155.76,2024-04-10,191.08
16,HOOD,2025,1,2025-04-30,GAINER,AMC,UP,0.9,55.73,47.8314,HIT,success,2025-05-01,46.62,2025-06-13,72.6
26,TTD,2024,4,2025-02-12,LOSER,AMC,DOWN,0.2,-31.82,-54.3075,HIT,success,2025-02-13,81.92,2025-03-28,55.85
20,WSM,2024,3,2024-11-20,GAINER,BMO,UP,0.8,14.44,45.9633,HIT,success,2024-11-20,175.04,2025-01-06,200.32
19,COIN,2024,3,2024-10-30,GAINER,AMC,UP,0.7,73.27,46.6799,HIT,success,2024-10-31,179.25,2024-12-13,310.58
27,UNH,2025,1,2025-04-17,LOSER,BMO,DOWN,0.2,-32.9,-47.9147,HIT,success,2025-04-17,454.11,2025-06-02,304.72
25,HOOD,2024,3,2024-10-30,GAINER,AMC,UP,0.8,71.14,42.5027,HIT,success,2024-10-31,23.49,2024-12-13,40.2
23,MCHP,2025,4,2025-05-08,GAINER,AMC,UP,0.8,27.29,43.3252,HIT,success,2025-05-09,55.33,2025-06-24,70.43
28,TTD,2025,2,2025-08-07,LOSER,AMC,DOWN,0.3,-14.9,-47.7527,HIT,success,2025-08-08,54.23,2025-09-22,46.15
29,DECK,2025,3,2025-01-30,LOSER,AMC,UP,0.8,-33.76,-47.3444,MISS,success,2025-01-31,177.36,2025-03-17,117.48
31,COIN,2024,4,2025-02-13,LOSER,AMC,UP,0.8,-37.21,-42.226,MISS,success,2025-02-14,274.31,2025-03-31,172.23
30,MRNA,2024,2,2024-08-01,LOSER,BMO,DOWN,0.2,-27.49,-42.7277,HIT,success,2024-08-01,94.17,2024-09-13,68.28
35,VTRS,2024,4,2025-02-27,LOSER,BMO,DOWN,0.2,-23.82,-35.4093,HIT,success,2025-02-27,9.53,2025-04-10,7.26
32,EPAM,2024,4,2025-02-20,LOSER,BMO,DOWN,0.3,-30.89,-39.735,HIT,success,2025-02-20,225.07,2025-04-03,155.55
34,TSLA,2024,4,2025-01-29,LOSER,AMC,DOWN,0.3,-37.55,-35.7543,HIT,success,2025-01-30,400.28,2025-03-14,249.98
37,DXCM,2024,2,2024-07-25,LOSER,AMC,DOWN,0.1,8.92,-35.3639,MISS,success,2024-07-26,64.0,2024-09-09,69.71
40,MPWR,2024,3,2024-10-30,LOSER,AMC,UP,0.8,-19.87,-33.8516,MISS,success,2024-10-31,759.3,2024-12-13,608.44
39,NTAP,2025,3,2025-02-27,LOSER,AMC,DOWN,0.3,-17.2,-33.9063,HIT,success,2025-02-28,99.81,2025-04-11,82.64
38,MU,2024,3,2024-06-26,LOSER,AMC,UP,0.8,-29.61,-34.6165,MISS,success,2024-06-27,132.23,2024-08-09,93.08
33,XYZ,2024,4,2025-02-20,LOSER,AMC,UP,0.8,-26.47,-39.475,MISS,success,2025-02-21,68.35,2025-04-04,50.26
41,APA,2024,4,2025-02-27,LOSER,BMO,DOWN,0.3,-28.5,-33.6665,HIT,success,2025-02-27,20.42,2025-04-10,14.6
36,ALGN,2025,2,2025-07-30,LOSER,AMC,DOWN,0.2,1.98,-35.3736,MISS,success,2025-07-31,129.01,2025-09-12,131.56
42,DG,2024,2,2024-08-29,LOSER,BMO,DOWN,0.2,-1.83,-33.3899,HIT,success,2024-08-29,84.03,2024-10-11,82.49
43,NCLH,2024,4,2025-02-27,LOSER,BMO,UP,0.8,-29.64,-33.3733,MISS,success,2025-02-27,23.72,2025-04-10,16.69
49,BBY,2025,4,2025-03-04,LOSER,BMO,NEUTRAL,0.6,-18.7,-29.5135,SKIP,success,2025-03-04,75.2,2025-04-15,61.14
44,LULU,2025,1,2025-06-05,LOSER,AMC,DOWN,0.3,-15.58,-32.3024,HIT,success,2025-06-06,265.27,2025-07-22,223.93
45,DDOG,2024,4,2025-02-13,LOSER,BMO,NEUTRAL,0.6,-25.6,-31.7307,SKIP,success,2025-02-13,135.89,2025-03-28,101.1
46,WST,2024,4,2025-02-13,LOSER,BMO,DOWN,0.2,11.6,-31.0537,MISS,success,2025-02-13,199.11,2025-03-28,222.2
47,CHTR,2025,2,2025-07-25,LOSER,BMO,NEUTRAL,0.6,-14.81,-30.5579,SKIP,success,2025-07-25,309.75,2025-09-08,263.88
48,GEV,2024,4,2025-01-22,LOSER,BMO,UP,0.8,-31.35,-29.5168,MISS,success,2025-01-22,427.1,2025-03-06,293.21
50,HPQ,2025,1,2025-02-27,LOSER,BMO,UP,0.7,-30.97,-29.2484,MISS,success,2025-02-27,33.13,2025-04-10,22.87
