rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,csv_t30_change,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,error
17,OXY,2021,4,2022-02-24,GAINER,AMC,UP,0.8,59.53,HIT,success,63.5,2022-02-25,2022-04-08,38.74,61.8,
18,EQT,2021,4,2022-02-09,GAINER,AMC,UP,0.8,58.42,HIT,success,80.4,2022-02-10,2022-03-25,21.67,34.33,
19,BA,2020,3,2020-10-28,GAINER,BMO,DOWN,0.2,58.25,MISS,success,73.8,2020-10-28,2020-12-10,148.14,234.43,
20,WSM,2019,4,2020-03-18,GAINER,AMC,UP,0.7,57.5,HIT,success,75.4,2020-03-19,2020-05-01,19.13,30.13,
21,LEN,2019,4,2020-03-19,GAINER,BMO,UP,0.8,56.47,HIT,success,81.6,2020-03-19,2020-05-01,31.61,49.46,
22,SYF,2020,1,2020-04-21,GAINER,BMO,DOWN,0.3,56.16,MISS,success,77.6,2020-04-21,2020-06-03,15.17,23.69,
23,NCLH,2023,3,2023-11-01,GAINER,BMO,DOWN,0.3,55.34,MISS,success,80.7,2023-11-01,2023-12-14,13.1,20.35,
24,HOOD,2023,3,2023-11-07,GAINER,AMC,UP,0.7,54.09,HIT,success,65.1,2023-11-08,2023-12-21,8.37,12.89,
25,PHM,2020,1,2020-04-23,GAINER,BMO,UP,0.7,53.83,HIT,success,69.0,2020-04-23,2020-06-05,23.87,36.72,
26,TRGP,2020,1,2020-05-07,GAINER,BMO,UP,0.7,53.58,HIT,success,71.6,2020-05-07,2020-06-19,13.42,20.61,
27,FSLR,2022,2,2022-07-28,GAINER,BMO,UP,0.8,53.47,HIT,success,74.9,2022-07-28,2022-09-09,88.5,135.82,
28,MOS,2021,4,2022-02-22,GAINER,AMC,UP,0.8,53.08,HIT,success,72.8,2022-02-23,2022-04-06,45.2,69.19,
29,GE,2020,3,2020-10-28,GAINER,BMO,UP,0.8,52.57,HIT,success,120.9,2020-10-28,2020-12-10,36.94,56.36,
30,AMD,2023,1,2023-05-02,GAINER,AMC,UP,0.7,52.22,HIT,success,71.2,2023-05-03,2023-06-15,81.62,124.24,
31,TRGP,2020,3,2020-11-05,GAINER,BMO,UP,0.8,51.92,HIT,success,80.2,2020-11-05,2020-12-18,17.74,26.95,
32,FSLR,2024,1,2024-05-01,GAINER,AMC,UP,0.7,51.58,HIT,success,83.9,2024-05-02,2024-06-14,180.51,273.61,
33,HOOD,2023,4,2024-02-13,GAINER,AMC,UP,0.8,50.45,HIT,success,72.0,2024-02-14,2024-03-28,13.38,20.13,
34,CRWD,2019,4,2020-03-19,GAINER,AMC,,,49.83,,error,8.351863145828247,2020-03-20,2020-05-04,49.01,73.43,No transcript found for CRWD FY2019 Q4
35,TSLA,2024,3,2024-10-23,GAINER,AMC,UP,0.7,49.42,HIT,success,72.2,2024-10-24,2024-12-06,260.48,389.22,
36,COP,2020,3,2020-10-29,GAINER,BMO,NEUTRAL,0.6,49.11,SKIP,success,71.9,2020-10-29,2020-12-11,29.16,43.48,
37,TPL,2020,3,2020-11-02,GAINER,AMC,,,48.74,,error,6.992945909500122,2020-11-03,2020-12-16,161.33,239.97,No transcript found for TPL FY2020 Q3
38,VLO,2020,3,2020-10-22,GAINER,BMO,NEUTRAL,0.6,48.43,SKIP,success,68.6,2020-10-22,2020-12-04,41.28,61.27,
39,CCL,2022,2,2022-09-30,GAINER,BMO,NEUTRAL,0.6,47.23,SKIP,success,72.7,2022-09-30,2022-11-11,7.03,10.35,
40,PLTR,2023,1,2023-05-08,GAINER,AMC,UP,0.8,47.12,HIT,success,75.5,2023-05-09,2023-06-22,9.55,14.05,
41,OXY,2020,1,2020-05-05,GAINER,AMC,DOWN,0.2,46.79,MISS,success,73.4,2020-05-06,2020-06-18,13.4,19.67,
42,UAL,2020,1,2020-04-30,GAINER,AMC,DOWN,0.2,46.51,MISS,success,69.2,2020-05-01,2020-06-15,26.62,39.0,
43,BKR,2020,3,2020-10-21,GAINER,BMO,UP,0.7,45.44,HIT,success,69.9,2020-10-21,2020-12-03,14.04,20.42,
44,RCL,2023,3,2023-10-26,GAINER,BMO,UP,0.9,45.35,HIT,success,75.6,2023-10-26,2023-12-08,82.88,120.47,
45,EOG,2020,3,2020-11-05,GAINER,AMC,UP,0.7,44.82,HIT,success,108.4,2020-11-06,2020-12-21,34.58,50.08,
46,WYNN,2020,3,2020-11-05,GAINER,BMO,UP,0.7,44.68,HIT,success,70.7,2020-11-05,2020-12-18,80.13,115.93,
47,PSKY,2020,1,2020-05-07,GAINER,BMO,UP,0.7,44.28,HIT,success,666.5,2020-05-07,2020-06-19,16.42,23.69,
48,DAL,2020,1,2020-04-22,GAINER,BMO,DOWN,0.3,44.1,MISS,success,71.1,2020-04-22,2020-06-04,22.47,32.38,
49,PSX,2020,3,2020-10-30,GAINER,BMO,NEUTRAL,0.6,44.0,SKIP,success,81.0,2020-10-30,2020-12-14,46.66,67.19,
50,IVZ,2020,1,2020-04-23,GAINER,BMO,DOWN,0.3,43.78,MISS,success,67.3,2020-04-23,2020-06-05,7.24,10.41,
51,TPL,2020,4,2021-02-25,GAINER,BMO,,,43.74,,error,6.879957914352417,2021-02-25,2021-04-09,370.62,532.73,No transcript found for TPL FY2020 Q4
52,RL,2020,3,2020-10-29,GAINER,BMO,UP,0.7,43.58,HIT,success,65.7,2020-10-29,2020-12-11,70.58,101.34,
53,OKE,2020,3,2020-10-27,GAINER,AMC,UP,0.8,43.52,HIT,success,75.3,2020-10-28,2020-12-10,29.09,41.75,
54,BLDR,2023,3,2023-11-01,GAINER,BMO,NEUTRAL,0.6,43.33,SKIP,success,73.7,2023-11-01,2023-12-14,117.47,168.37,
55,MGM,2020,2,2020-07-30,GAINER,AMC,UP,0.7,43.32,HIT,success,77.3,2020-07-31,2020-09-14,16.09,23.06,
56,BXP,2020,3,2020-10-27,GAINER,AMC,NEUTRAL,0.6,43.22,SKIP,success,69.4,2020-10-28,2020-12-10,71.15,101.9,
57,NUE,2021,1,2021-04-22,GAINER,BMO,UP,0.9,42.96,HIT,success,74.3,2021-04-22,2021-06-04,76.09,108.78,
58,CCL,2020,4,2021-01-26,GAINER,BMO,NEUTRAL,0.6,42.63,SKIP,success,72.8,2021-01-26,2021-03-10,18.72,26.7,
59,NUE,2020,4,2021-01-28,GAINER,AMC,UP,0.8,42.62,HIT,success,75.6,2021-01-29,2021-03-15,48.73,69.5,
60,COF,2020,1,2020-04-23,GAINER,AMC,DOWN,0.2,42.48,MISS,success,92.3,2020-04-24,2020-06-08,56.15,80.0,
61,RCL,2020,3,2020-10-29,GAINER,BMO,UP,0.7,42.04,HIT,success,81.0,2020-10-29,2020-12-11,53.83,76.46,
62,NCLH,2020,1,2020-05-14,GAINER,BMO,DOWN,0.2,42.01,MISS,success,70.9,2020-05-14,2020-06-26,10.76,15.28,
63,MGM,2020,3,2020-10-29,GAINER,BMO,UP,0.7,41.76,HIT,success,69.2,2020-10-29,2020-12-11,21.29,30.18,
64,URI,2020,3,2020-10-28,GAINER,BMO,UP,0.7,41.73,HIT,success,71.3,2020-10-28,2020-12-10,170.73,241.98,
65,TDG,2020,1,2020-05-05,GAINER,BMO,UP,0.7,41.62,HIT,success,71.7,2020-05-05,2020-06-17,324.59,459.69,
66,VLO,2020,4,2021-01-28,GAINER,BMO,NEUTRAL,0.6,41.3,SKIP,success,77.0,2021-01-28,2021-03-12,58.33,82.42,
67,TSLA,2020,3,2020-10-21,GAINER,AMC,UP,0.8,40.69,HIT,success,64.9,2020-10-22,2020-12-04,141.93,199.68,
68,HAL,2020,3,2020-10-19,GAINER,BMO,UP,0.7,40.35,HIT,success,80.1,2020-10-19,2020-12-01,12.17,17.08,
69,IDXX,2023,3,2023-11-01,GAINER,BMO,NEUTRAL,0.6,40.17,SKIP,success,71.2,2023-11-01,2023-12-14,395.35,554.18,
70,CCL,2022,3,2022-12-21,GAINER,BMO,UP,0.7,39.98,HIT,success,63.3,2022-12-21,2023-02-06,8.48,11.87,
71,PLTR,2024,3,2024-11-04,GAINER,AMC,UP,0.8,39.86,HIT,success,66.9,2024-11-05,2024-12-18,51.13,71.51,
72,NUE,2021,4,2022-01-27,GAINER,BMO,UP,0.8,39.81,HIT,success,77.2,2022-01-27,2022-03-11,96.74,135.25,
73,TXT,2020,3,2020-10-29,GAINER,BMO,UP,0.7,39.8,HIT,success,94.7,2020-10-29,2020-12-11,34.07,47.63,
74,EL,2023,3,2023-11-01,GAINER,BMO,DOWN,0.1,39.76,MISS,success,86.7,2023-11-01,2023-12-14,104.51,146.06,
75,LRCX,2020,3,2020-10-21,GAINER,AMC,DOWN,0.3,39.66,MISS,success,75.8,2020-10-22,2020-12-04,35.8,50.0,
76,APP,2021,2,2021-08-11,GAINER,AMC,UP,0.9,39.52,HIT,success,70.2,2021-08-12,2021-09-24,56.96,79.47,
77,SLB,2021,1,2021-04-23,GAINER,BMO,UP,0.8,39.36,HIT,success,73.0,2021-04-23,2021-06-07,25.71,35.83,
78,HBAN,2020,1,2020-04-23,GAINER,AMC,DOWN,0.3,39.09,MISS,success,68.2,2020-04-24,2020-06-08,8.16,11.35,
79,SLB,2020,3,2020-10-16,GAINER,BMO,UP,0.7,38.88,HIT,success,69.1,2020-10-16,2020-11-30,14.97,20.79,
80,COP,2020,4,2021-02-02,GAINER,BMO,UP,0.8,38.71,HIT,success,78.8,2021-02-02,2021-03-17,40.97,56.83,
81,BLDR,2020,2,2020-07-30,GAINER,AMC,UP,0.7,38.67,HIT,success,73.6,2020-07-31,2020-09-14,23.69,32.85,
82,CF,2021,4,2022-02-15,GAINER,AMC,UP,0.8,38.48,HIT,success,86.7,2022-02-16,2022-03-31,74.42,103.06,
83,OXY,2020,3,2020-11-09,GAINER,BMO,UP,0.8,38.35,HIT,success,68.1,2020-11-09,2020-12-22,12.23,16.92,
84,APP,2024,3,2024-11-06,GAINER,AMC,UP,0.9,38.32,HIT,success,67.5,2024-11-07,2024-12-20,246.53,340.99,
85,CCL,2020,1,2020-04-03,GAINER,AMC,,,38.2,,error,6.756667852401733,2020-04-06,2020-05-19,10.21,14.11,No transcript found for CCL FY2020 Q1
86,FCX,2022,3,2022-10-20,GAINER,BMO,NEUTRAL,0.4,38.12,SKIP,success,76.3,2022-10-20,2022-12-02,29.12,40.22,
87,KIM,2020,3,2020-11-05,GAINER,BMO,UP,0.7,38.05,HIT,success,81.5,2020-11-05,2020-12-18,10.59,14.62,
88,CCI,2023,3,2023-10-18,GAINER,AMC,DOWN,0.3,38.05,MISS,success,83.2,2023-10-19,2023-12-01,85.89,118.57,
89,VICI,2020,1,2020-04-30,GAINER,AMC,NEUTRAL,0.6,37.86,SKIP,success,67.9,2020-05-01,2020-06-15,16.56,22.83,
90,MPWR,2023,3,2023-10-30,GAINER,AMC,NEUTRAL,0.6,37.8,SKIP,success,72.2,2023-10-31,2023-12-13,441.74,608.72,
91,CF,2020,3,2020-11-04,GAINER,AMC,UP,0.7,37.67,HIT,success,70.2,2020-11-05,2020-12-18,27.34,37.64,
92,OKE,2020,1,2020-04-28,GAINER,BMO,NEUTRAL,0.6,37.5,SKIP,success,78.8,2020-04-28,2020-06-10,30.53,41.98,
93,LUV,2020,4,2021-01-28,GAINER,BMO,DOWN,0.3,36.84,MISS,success,95.0,2021-01-28,2021-03-12,44.6,61.03,
94,PLTR,2024,2,2024-08-05,GAINER,AMC,UP,0.9,36.82,HIT,success,77.9,2024-08-06,2024-09-18,26.59,36.38,
95,VLO,2022,1,2022-04-26,GAINER,BMO,UP,0.8,36.74,HIT,success,82.1,2022-04-26,2022-06-08,105.14,143.77,
96,FCX,2020,3,2020-10-22,GAINER,BMO,UP,0.9,36.57,HIT,success,81.2,2020-10-22,2020-12-04,18.35,25.06,
97,VST,2024,2,2024-08-08,GAINER,BMO,UP,0.8,36.42,HIT,success,675.9,2024-08-08,2024-09-20,79.08,107.88,
98,NRG,2023,4,2024-02-28,GAINER,BMO,UP,0.8,36.36,HIT,success,676.7,2024-02-28,2024-04-11,54.7,74.59,
99,COIN,2023,4,2024-02-15,GAINER,AMC,UP,0.9,36.34,HIT,success,83.0,2024-02-16,2024-04-02,180.31,245.84,
100,VST,2023,4,2024-02-28,GAINER,BMO,UP,0.8,35.8,HIT,success,82.7,2024-02-28,2024-04-11,53.02,72.0,
101,EME,2020,3,2020-10-29,GAINER,BMO,UP,0.8,35.71,HIT,success,88.2,2020-10-29,2020-12-11,66.32,90.0,
102,F,2021,1,2021-04-28,GAINER,AMC,UP,0.7,35.7,HIT,success,83.0,2021-04-29,2021-06-11,11.26,15.28,
103,TECH,2023,3,2023-10-31,GAINER,BMO,NEUTRAL,0.6,35.46,SKIP,success,83.1,2023-10-31,2023-12-13,54.63,74.0,
104,PAYC,2023,3,2023-10-31,GAINER,AMC,DOWN,0.1,35.18,MISS,success,67.0,2023-11-01,2023-12-14,150.69,203.71,
105,MPC,2020,3,2020-11-02,GAINER,BMO,UP,0.7,34.98,HIT,success,65.4,2020-11-02,2020-12-15,31.3,42.25,
106,IP,2024,1,2024-04-25,GAINER,BMO,NEUTRAL,0.6,34.87,SKIP,success,75.5,2024-04-25,2024-06-07,33.52,45.21,
107,TSLA,2020,2,2020-07-22,GAINER,AMC,UP,0.8,34.5,HIT,success,73.8,2020-07-23,2020-09-03,100.87,135.67,
108,GNRC,2023,3,2023-11-01,GAINER,BMO,UP,0.7,34.26,HIT,success,81.4,2023-11-01,2023-12-14,96.13,129.06,
109,EFX,2022,3,2022-10-19,GAINER,AMC,DOWN,0.3,34.04,MISS,success,84.5,2022-10-20,2022-12-02,150.24,201.38,
110,CRL,2023,3,2023-11-08,GAINER,BMO,DOWN,0.3,33.95,MISS,success,80.5,2023-11-08,2023-12-21,175.97,235.72,
111,NCLH,2023,1,2023-05-01,GAINER,BMO,UP,0.6,33.91,HIT,success,68.5,2023-05-01,2023-06-13,14.54,19.47,
112,BA,2022,3,2022-10-26,GAINER,BMO,DOWN,0.3,33.85,MISS,success,83.5,2022-10-26,2022-12-08,133.79,179.08,
113,EFX,2020,1,2020-04-20,GAINER,AMC,DOWN,0.3,33.81,MISS,success,85.4,2020-04-21,2020-06-03,130.04,174.01,
114,UAL,2024,3,2024-10-15,GAINER,AMC,UP,0.8,33.78,HIT,success,83.0,2024-10-16,2024-11-27,72.02,96.35,
115,BA,2023,3,2023-10-25,GAINER,BMO,DOWN,0.3,33.53,MISS,success,67.2,2023-10-25,2023-12-07,177.73,237.33,
116,STLD,2020,4,2021-01-25,GAINER,AMC,UP,0.8,33.27,HIT,success,74.2,2021-01-26,2021-03-10,36.61,48.79,
117,CCL,2024,2,2024-09-30,GAINER,BMO,UP,0.9,33.12,HIT,success,72.6,2024-09-30,2024-11-11,18.48,24.6,
118,WDC,2020,3,2020-10-28,GAINER,BMO,UP,0.7,32.97,HIT,success,83.6,2020-10-28,2020-12-10,29.33,39.0,
119,REG,2020,3,2020-11-05,GAINER,AMC,UP,0.7,32.86,HIT,success,84.5,2020-11-06,2020-12-21,34.05,45.24,
120,HIG,2020,4,2021-02-04,GAINER,BMO,UP,0.7,32.86,HIT,success,82.7,2021-02-04,2021-03-19,50.94,67.68,
121,AVGO,2023,3,2023-12-07,GAINER,AMC,UP,0.8,32.79,HIT,success,69.8,2023-12-08,2024-01-24,94.43,125.39,
122,FCX,2020,1,2020-04-24,GAINER,BMO,UP,0.7,32.67,HIT,success,110.4,2020-04-24,2020-06-08,8.48,11.25,
123,RCL,2023,1,2023-05-04,GAINER,BMO,UP,0.9,32.58,HIT,success,78.6,2023-05-04,2023-06-16,71.88,95.3,
124,IPG,2020,1,2020-04-22,GAINER,BMO,DOWN,0.3,32.55,MISS,success,75.3,2020-04-22,2020-06-04,14.04,18.61,
125,DDOG,2021,1,2021-05-06,GAINER,AMC,UP,0.9,32.42,HIT,success,74.7,2021-05-07,2021-06-21,77.29,102.35,
126,NVDA,2021,1,2021-05-26,GAINER,AMC,UP,0.8,32.41,HIT,success,80.1,2021-05-27,2021-07-12,15.49,20.51,
127,BKR,2021,1,2021-04-21,GAINER,BMO,UP,0.7,32.28,HIT,success,80.2,2021-04-21,2021-06-03,19.55,25.86,
128,UAL,2020,3,2020-10-14,GAINER,AMC,NEUTRAL,0.6,32.26,SKIP,success,76.7,2020-10-15,2020-11-27,34.25,45.3,
129,DXCM,2023,3,2023-10-26,GAINER,AMC,UP,0.9,32.04,HIT,success,80.0,2023-10-27,2023-12-11,89.29,117.9,
130,BKR,2020,1,2020-04-22,GAINER,BMO,DOWN,0.3,32.02,MISS,success,98.3,2020-04-22,2020-06-04,12.99,17.15,
131,CEG,2021,4,2022-02-25,GAINER,AMC,,,31.97,,error,5.477726936340332,2022-02-28,2022-04-11,45.98,60.68,No transcript found for CEG FY2021 Q4
132,PFG,2020,1,2020-04-27,GAINER,AMC,UP,0.7,31.93,HIT,success,71.5,2020-04-28,2020-06-10,33.61,44.34,
133,APA,2022,2,2022-08-03,GAINER,AMC,NEUTRAL,0.4,31.88,SKIP,success,69.0,2022-08-04,2022-09-16,30.68,40.46,
134,OMC,2020,3,2020-10-27,GAINER,BMO,UP,0.7,31.83,HIT,success,79.0,2020-10-27,2020-12-09,48.82,64.36,
135,TTD,2021,1,2021-05-10,GAINER,BMO,UP,0.9,31.74,HIT,success,85.4,2021-05-10,2021-06-22,48.96,64.5,
136,EXPE,2023,3,2023-11-02,GAINER,AMC,UP,0.8,31.73,HIT,success,91.2,2023-11-03,2023-12-18,112.71,148.47,
137,EXR,2023,3,2023-11-07,GAINER,AMC,NEUTRAL,0.6,31.7,SKIP,success,69.9,2023-11-08,2023-12-21,118.53,156.1,
138,ALB,2020,3,2020-11-04,GAINER,AMC,NEUTRAL,0.6,31.66,SKIP,success,79.0,2020-11-05,2020-12-18,105.5,138.9,
139,MOS,2020,3,2020-11-02,GAINER,AMC,UP,0.8,31.59,HIT,success,80.2,2020-11-03,2020-12-16,17.19,22.62,
140,KKR,2023,3,2023-11-07,GAINER,BMO,UP,0.7,31.58,HIT,success,72.0,2023-11-07,2023-12-20,62.34,82.03,
141,PTC,2020,3,2020-10-28,GAINER,AMC,UP,0.8,31.57,HIT,success,71.5,2020-10-29,2020-12-11,85.87,112.98,
142,FITB,2020,1,2020-04-21,GAINER,BMO,UP,0.7,31.37,HIT,success,87.4,2020-04-21,2020-06-03,16.26,21.36,
143,AVGO,2024,2,2024-09-05,GAINER,AMC,UP,0.9,31.31,HIT,success,65.5,2024-09-06,2024-10-18,137.0,179.89,
144,TSLA,2023,1,2023-04-19,GAINER,AMC,DOWN,0.3,31.28,MISS,success,72.1,2023-04-20,2023-06-02,162.99,213.97,
145,ACGL,2020,1,2020-05-04,GAINER,BMO,UP,0.7,31.18,HIT,success,76.6,2020-05-04,2020-06-16,23.8,31.22,
146,PODD,2024,2,2024-08-08,GAINER,AMC,UP,0.8,31.17,HIT,success,79.6,2024-08-09,2024-09-23,182.19,238.97,
147,ALB,2020,1,2020-05-06,GAINER,AMC,DOWN,0.3,31.15,MISS,success,82.7,2020-05-07,2020-06-19,59.74,78.35,
148,MRNA,2022,3,2022-11-03,GAINER,BMO,DOWN,0.3,31.04,MISS,success,75.2,2022-11-03,2022-12-16,147.5,193.29,
149,TPR,2023,3,2023-11-09,GAINER,BMO,UP,0.8,31.01,HIT,success,75.1,2023-11-09,2023-12-22,28.28,37.05,
150,PSKY,2023,3,2023-11-02,GAINER,AMC,UP,0.7,30.66,HIT,success,70.2,2023-11-03,2023-12-18,12.49,16.32,
151,C,2020,3,2020-10-13,GAINER,BMO,DOWN,0.2,30.63,MISS,success,73.0,2020-10-13,2020-11-24,43.68,57.06,
152,FOXA,2020,4,2021-02-09,GAINER,BMO,UP,0.7,30.56,HIT,success,75.5,2021-02-09,2021-03-24,30.73,40.12,
153,BLK,2022,3,2022-10-13,GAINER,BMO,NEUTRAL,0.4,30.34,SKIP,success,75.9,2022-10-13,2022-11-25,566.03,737.78,
154,IBKR,2024,3,2024-10-15,GAINER,AMC,UP,0.8,30.33,HIT,success,76.0,2024-10-16,2024-11-27,36.7,47.83,
155,TPL,2021,4,2022-02-23,GAINER,AMC,UP,0.8,30.27,HIT,success,68.5,2022-02-24,2022-04-07,366.1,476.92,
156,TAP,2020,3,2020-10-29,GAINER,AMC,UP,0.8,30.23,HIT,success,94.1,2020-10-30,2020-12-14,35.26,45.92,
157,FDX,2020,1,2020-06-30,GAINER,AMC,DOWN,0.1,30.13,MISS,success,68.8,2020-07-01,2020-08-13,156.66,203.86,
158,LYV,2020,3,2020-11-05,GAINER,BMO,UP,0.7,30.13,HIT,success,67.9,2020-11-05,2020-12-18,56.43,73.43,
159,XOM,2020,4,2021-02-02,GAINER,BMO,UP,0.7,30.11,HIT,success,76.4,2021-02-02,2021-03-17,45.63,59.37,
160,RTX,2020,3,2020-10-27,GAINER,BMO,NEUTRAL,0.6,30.09,SKIP,success,73.6,2020-10-27,2020-12-09,56.53,73.54,
161,LULU,2019,4,2020-03-26,GAINER,AMC,DOWN,0.3,30.07,MISS,success,84.8,2020-03-27,2020-05-11,188.84,245.62,
162,HST,2020,3,2020-11-04,GAINER,BMO,NEUTRAL,0.6,30.03,SKIP,success,74.7,2020-11-04,2020-12-17,10.99,14.29,
163,K,2024,2,2024-08-01,GAINER,BMO,UP,0.8,30.02,HIT,success,76.0,2024-08-01,2024-09-13,62.05,80.68,
164,ISRG,2022,3,2022-10-18,GAINER,AMC,UP,0.8,30.0,HIT,success,62.2,2022-10-19,2022-12-01,211.14,274.49,
165,PLTR,2021,1,2021-05-11,GAINER,BMO,UP,0.8,29.99,HIT,success,63.5,2021-05-11,2021-06-23,20.21,26.27,
166,ALB,2023,1,2023-05-03,GAINER,AMC,DOWN,0.3,29.9,MISS,success,78.9,2023-05-04,2023-06-16,175.65,228.17,
167,BA,2020,4,2021-01-27,GAINER,BMO,DOWN,0.2,29.88,MISS,success,85.8,2021-01-27,2021-03-11,194.03,252.0,
168,DAL,2020,3,2020-10-13,GAINER,BMO,NEUTRAL,0.6,29.87,SKIP,success,95.5,2020-10-13,2020-11-24,31.77,41.26,
169,AXP,2020,1,2020-04-24,GAINER,AMC,DOWN,0.3,29.86,MISS,success,66.9,2020-04-27,2020-06-09,85.06,110.46,
170,WBD,2020,3,2020-11-05,GAINER,BMO,NEUTRAL,0.6,29.72,SKIP,success,68.6,2020-11-05,2020-12-18,21.43,27.8,
171,NOW,2023,3,2023-10-25,GAINER,BMO,UP,0.8,29.71,HIT,success,90.9,2023-10-25,2023-12-07,530.17,687.68,
172,APO,2020,1,2020-05-01,GAINER,BMO,UP,0.7,29.65,HIT,success,72.4,2020-05-01,2020-06-15,39.56,51.29,
173,MGM,2020,1,2020-04-30,GAINER,AMC,NEUTRAL,0.6,29.58,SKIP,success,81.9,2020-05-01,2020-06-15,15.01,19.45,
174,PSX,2020,4,2021-01-29,GAINER,BMO,NEUTRAL,0.6,29.56,SKIP,success,57.8,2021-01-29,2021-03-15,67.8,87.84,
175,TXT,2020,1,2020-04-30,GAINER,BMO,DOWN,0.3,29.55,MISS,success,77.1,2020-04-30,2020-06-12,26.36,34.15,
176,XOM,2020,3,2020-10-30,GAINER,BMO,NEUTRAL,0.4,29.43,SKIP,success,72.0,2020-10-30,2020-12-14,32.62,42.22,
177,CVX,2020,4,2021-01-29,GAINER,BMO,NEUTRAL,0.6,29.4,SKIP,success,69.2,2021-01-29,2021-03-15,85.2,110.25,
178,PFE,2021,3,2021-11-02,GAINER,BMO,UP,0.8,29.37,HIT,success,97.8,2021-11-02,2021-12-15,45.45,58.8,
179,TER,2024,1,2024-04-24,GAINER,AMC,UP,0.8,29.37,HIT,success,94.6,2024-04-25,2024-06-07,108.91,140.9,
180,HAL,2021,1,2021-04-21,GAINER,BMO,UP,0.7,29.32,HIT,success,80.9,2021-04-21,2021-06-03,19.1,24.7,
181,EQR,2020,3,2020-10-27,GAINER,AMC,DOWN,0.3,29.3,MISS,success,74.0,2020-10-28,2020-12-10,46.24,59.79,
182,ERIE,2023,2,2023-07-27,GAINER,AMC,NEUTRAL,0.4,29.23,SKIP,success,67.2,2023-07-28,2023-09-11,218.95,282.94,
183,PHM,2023,3,2023-10-24,GAINER,BMO,UP,0.8,29.04,HIT,success,90.1,2023-10-24,2023-12-06,71.65,92.46,
184,TPR,2020,3,2020-10-29,GAINER,BMO,DOWN,0.2,29.04,MISS,success,77.9,2020-10-29,2020-12-11,22.73,29.33,
185,CBRE,2020,3,2020-10-29,GAINER,BMO,UP,0.7,28.95,HIT,success,82.3,2020-10-29,2020-12-11,51.3,66.15,
186,PODD,2023,3,2023-11-02,GAINER,AMC,UP,0.8,28.94,HIT,success,74.9,2023-11-03,2023-12-18,162.58,209.63,
187,AIG,2020,1,2020-05-04,GAINER,AMC,DOWN,0.3,28.81,MISS,success,70.8,2020-05-05,2020-06-17,25.06,32.28,
188,LVS,2020,4,2021-01-27,GAINER,BMO,NEUTRAL,0.6,28.79,SKIP,success,66.1,2021-01-27,2021-03-11,49.04,63.16,
189,CVX,2020,3,2020-10-30,GAINER,BMO,UP,0.7,28.69,HIT,success,66.9,2020-10-30,2020-12-14,69.5,89.44,
190,COF,2020,4,2021-01-26,GAINER,AMC,UP,0.8,28.64,HIT,success,98.0,2021-01-27,2021-03-11,102.69,132.1,
