rank,ticker,year,quarter,date,category,expected,predicted,confidence,actual,result,elapsed
30,AXON,2024,4,2025-02-25,GAINER,UP,UP,0.8,+15.25%,CORRECT,404
31,NKE,2025,4,2025-06-26,GAINER,UP,DOWN,0.3,+15.19%,WRONG,360
32,CVS,2024,4,2025-02-12,GAINER,UP,DOWN,0.3,+14.95%,WRONG,286
33,GM,2025,3,2025-10-21,GAINER,UP,NEUTRAL,0.6,+14.86%,SKIP,398
34,IDXX,2025,3,2025-11-03,GAINER,UP,UP,0.7,+14.84%,CORRECT,400
35,AKAM,2025,3,2025-11-06,GAINER,UP,UP,0.7,+14.71%,CORRECT,389
36,GEV,2025,2,2025-07-23,GAINER,UP,UP,0.7,+14.58%,CORRECT,373
37,HAS,2025,1,2025-04-24,GAINER,UP,NEUTRAL,0.6,+14.58%,SKIP,318
38,ABNB,2024,4,2025-02-13,GAINER,UP,NEUTRAL,0.4,+14.45%,SKIP,383
39,FSLR,2025,3,2025-10-30,GAINER,UP,DOWN,0.3,+14.28%,WRONG,372
40,AXON,2025,1,2025-05-07,GAINER,UP,UP,0.8,+14.13%,CORRECT,540
41,HOOD,2024,4,2025-02-12,GAINER,UP,UP,0.8,+14.11%,CORRECT,396
42,TTWO,2025,3,2025-02-06,GAINER,UP,NEUTRAL,0.6,+14.03%,SKIP,361
43,ISRG,2025,3,2025-10-21,GAINER,UP,UP,0.7,+13.89%,CORRECT,386
44,EFX,2025,1,2025-04-22,GAINER,UP,NEUTRAL,0.6,+13.84%,SKIP,382
45,ULTA,2024,4,2025-03-13,GAINER,UP,DOWN,0.3,+13.68%,WRONG,357
46,ORCL,2025,4,2025-06-11,GAINER,UP,UP,0.8,+13.31%,CORRECT,372
47,IBM,2024,4,2025-01-29,GAINER,UP,NEUTRAL,0.6,+12.96%,SKIP,378
48,HAS,2024,4,2025-02-20,GAINER,UP,NEUTRAL,0.6,+12.95%,SKIP,368
49,DOW,2025,3,2025-10-23,GAINER,UP,NEUTRAL,0.6,+12.95%,SKIP,359
50,EPAM,2025,1,2025-05-08,GAINER,UP,NEUTRAL,0.6,+12.88%,SKIP,406
51,ROK,2025,1,2025-02-10,GAINER,UP,NEUTRAL,0.6,+12.65%,SKIP,386
52,GRMN,2024,4,2025-02-19,GAINER,UP,UP,0.7,+12.64%,CORRECT,408
53,MCHP,2025,4,2025-05-08,GAINER,UP,UP,0.7,+12.60%,CORRECT,334
54,INTU,2025,2,2025-02-25,GAINER,UP,UP,0.7,+12.58%,CORRECT,372
55,CNC,2025,3,2025-10-29,GAINER,UP,NEUTRAL,0.6,+12.50%,SKIP,339
56,HUM,2025,2,2025-07-30,GAINER,UP,UP,0.7,+12.40%,CORRECT,306
57,LVS,2025,3,2025-10-22,GAINER,UP,UP,0.7,+12.39%,CORRECT,397
59,F,2025,3,2025-10-23,GAINER,UP,NEUTRAL,0.6,+12.16%,SKIP,370
60,TPR,2025,2,2025-02-06,GAINER,UP,UP,0.8,+12.02%,CORRECT,323
61,RCL,2024,4,2025-01-28,GAINER,UP,UP,0.7,+12.00%,CORRECT,368
62,DAL,2025,2,2025-07-10,GAINER,UP,NEUTRAL,0.6,+11.99%,SKIP,378
63,APP,2025,2,2025-08-06,GAINER,UP,UP,0.7,+11.97%,CORRECT,283
64,TEL,2025,3,2025-07-23,GAINER,UP,UP,0.8,+11.95%,CORRECT,352
65,ROK,2025,2,2025-05-07,GAINER,UP,NEUTRAL,0.6,+11.90%,SKIP,360
66,APP,2025,1,2025-05-07,GAINER,UP,UP,0.8,+11.88%,CORRECT,354
67,GLW,2025,2,2025-07-29,GAINER,UP,UP,0.7,+11.86%,CORRECT,455
68,REGN,2025,3,2025-10-28,GAINER,UP,NEUTRAL,0.6,+11.82%,SKIP,313
69,ULTA,2025,1,2025-05-29,GAINER,UP,NEUTRAL,0.4,+11.78%,SKIP,351
70,AES,2024,4,2025-02-28,GAINER,UP,NEUTRAL,0.6,+11.66%,SKIP,384
71,CAT,2025,3,2025-10-29,GAINER,UP,NEUTRAL,0.6,+11.63%,SKIP,399
72,CARR,2025,1,2025-05-01,GAINER,UP,UP,0.7,+11.61%,CORRECT,353
74,STX,2025,3,2025-04-29,GAINER,UP,UP,0.7,+11.56%,CORRECT,280
75,PHM,2025,2,2025-07-22,GAINER,UP,NEUTRAL,0.4,+11.52%,SKIP,448
76,CHTR,2025,1,2025-04-25,GAINER,UP,NEUTRAL,0.6,+11.43%,SKIP,325
77,FFIV,2025,1,2025-01-28,GAINER,UP,UP,0.8,+11.40%,CORRECT,371
78,DECK,2026,1,2025-07-24,GAINER,UP,NEUTRAL,0.4,+11.35%,SKIP,390
79,JCI,2025,1,2025-02-05,GAINER,UP,UP,0.7,+11.28%,CORRECT,373
80,META,2025,2,2025-07-30,GAINER,UP,NEUTRAL,0.4,+11.25%,SKIP,386
81,IDXX,2024,4,2025-02-03,GAINER,UP,NEUTRAL,0.6,+11.13%,SKIP,312
82,LVS,2024,4,2025-01-29,GAINER,UP,NEUTRAL,0.4,+11.08%,SKIP,371
83,PM,2024,4,2025-02-06,GAINER,UP,UP,0.7,+10.95%,CORRECT,458
84,WST,2025,3,2025-10-23,GAINER,UP,UP,0.7,+10.92%,CORRECT,322
86,HSIC,2025,3,2025-11-04,GAINER,UP,UP,0.7,+10.78%,CORRECT,453
87,DIS,2025,2,2025-05-07,GAINER,UP,UP,0.7,+10.76%,CORRECT,424
88,XYL,2025,2,2025-07-31,GAINER,UP,UP,0.7,+10.74%,CORRECT,278
89,NRG,2024,4,2025-02-26,GAINER,UP,UP,0.7,+10.63%,CORRECT,289
90,MPWR,2025,2,2025-07-31,GAINER,UP,UP,0.7,+10.46%,CORRECT,312
91,WYNN,2024,4,2025-02-13,GAINER,UP,NEUTRAL,0.6,+10.38%,SKIP,407
92,BEN,2025,1,2025-01-31,GAINER,UP,DOWN,0.3,+10.37%,WRONG,371
93,ALLE,2025,1,2025-04-24,GAINER,UP,NEUTRAL,0.6,+10.32%,SKIP,405
94,CEG,2025,1,2025-05-06,GAINER,UP,NEUTRAL,0.6,+10.29%,SKIP,353
95,INCY,2025,2,2025-07-29,GAINER,UP,UP,0.7,+10.29%,CORRECT,383
96,WDC,2025,4,2025-07-30,GAINER,UP,UP,0.7,+10.16%,CORRECT,413
97,KEYS,2025,4,2025-11-24,GAINER,UP,UP,0.8,+10.01%,CORRECT,389
98,LW,2025,3,2025-04-03,GAINER,UP,DOWN,0.3,+10.01%,WRONG,373
99,PWR,2025,1,2025-05-01,GAINER,UP,UP,0.7,+9.99%,CORRECT,367
100,KR,2025,1,2025-06-20,GAINER,UP,NEUTRAL,0.6,+9.84%,SKIP,367
101,FISV,2025,3,2025-10-29,LOSER,DOWN,DOWN,0.2,-44.04%,CORRECT,413
102,TTD,2025,2,2025-08-07,LOSER,DOWN,NEUTRAL,0.6,-38.61%,SKIP,319
103,WST,2024,4,2025-02-13,LOSER,DOWN,DOWN,0.3,-38.22%,CORRECT,419
104,ALGN,2025,2,2025-07-30,LOSER,DOWN,DOWN,0.3,-36.63%,CORRECT,530
105,SNPS,2025,3,2025-09-09,LOSER,DOWN,DOWN,0.3,-35.84%,CORRECT,393
106,TTD,2024,4,2025-02-12,LOSER,DOWN,DOWN,0.3,-32.98%,CORRECT,384
107,IT,2025,2,2025-08-05,LOSER,DOWN,NEUTRAL,0.4,-27.55%,SKIP,375
108,SWKS,2025,1,2025-02-05,LOSER,DOWN,DOWN,0.2,-24.67%,CORRECT,359
109,BAX,2025,2,2025-07-31,LOSER,DOWN,DOWN,0.3,-22.42%,CORRECT,427
110,UNH,2025,1,2025-04-17,LOSER,DOWN,DOWN,0.2,-22.38%,CORRECT,383
111,FTNT,2025,2,2025-08-06,LOSER,DOWN,NEUTRAL,0.6,-22.03%,SKIP,343
112,AKAM,2024,4,2025-02-20,LOSER,DOWN,DOWN,0.3,-21.73%,CORRECT,438
113,VRTX,2025,2,2025-08-04,LOSER,DOWN,NEUTRAL,0.6,-20.60%,SKIP,396
114,DECK,2025,3,2025-01-30,LOSER,DOWN,NEUTRAL,0.6,-20.51%,SKIP,328
115,XYZ,2025,1,2025-05-01,LOSER,DOWN,DOWN,0.3,-20.43%,CORRECT,640
116,DECK,2025,4,2025-05-22,LOSER,DOWN,DOWN,0.3,-19.86%,CORRECT,345
117,LULU,2025,1,2025-06-05,LOSER,DOWN,DOWN,0.3,-19.80%,CORRECT,431
119,SRE,2024,4,2025-02-25,LOSER,DOWN,DOWN,0.3,-18.97%,CORRECT,366
120,LULU,2025,2,2025-09-04,LOSER,DOWN,DOWN,0.2,-18.58%,CORRECT,371
121,FISV,2025,1,2025-04-24,LOSER,DOWN,NEUTRAL,0.6,-18.53%,SKIP,382
122,CHTR,2025,2,2025-07-25,LOSER,DOWN,NEUTRAL,0.4,-18.49%,SKIP,450
123,HII,2024,4,2025-02-06,LOSER,DOWN,NEUTRAL,0.4,-18.32%,SKIP,419
124,SMCI,2025,4,2025-08-05,LOSER,DOWN,NEUTRAL,0.6,-18.29%,SKIP,437
125,CMG,2025,3,2025-10-29,LOSER,DOWN,DOWN,0.3,-18.18%,CORRECT,435
126,BDX,2025,2,2025-05-01,LOSER,DOWN,DOWN,0.3,-18.13%,CORRECT,306
127,LKQ,2025,2,2025-07-24,LOSER,DOWN,DOWN,0.3,-17.82%,CORRECT,337
128,XYZ,2024,4,2025-02-20,LOSER,DOWN,UP,0.7,-17.69%,WRONG,465
129,DASH,2025,3,2025-11-05,LOSER,DOWN,NEUTRAL,0.4,-17.45%,SKIP,316
130,DOW,2025,2,2025-07-24,LOSER,DOWN,DOWN,0.2,-17.45%,CORRECT,1027
131,CI,2025,3,2025-10-30,LOSER,DOWN,DOWN,0.3,-17.39%,CORRECT,977
132,STZ,2025,3,2025-01-10,LOSER,DOWN,DOWN,0.3,-17.09%,CORRECT,363
133,COIN,2025,2,2025-07-31,LOSER,DOWN,NEUTRAL,0.6,-16.70%,SKIP,383
134,EME,2025,3,2025-10-30,LOSER,DOWN,NEUTRAL,0.6,-16.60%,SKIP,398
135,EL,2025,2,2025-02-04,LOSER,DOWN,DOWN,0.3,-16.07%,CORRECT,378
136,EBAY,2025,3,2025-10-29,LOSER,DOWN,NEUTRAL,0.6,-15.88%,SKIP,316
137,TPR,2025,4,2025-08-14,LOSER,DOWN,NEUTRAL,0.6,-15.71%,SKIP,346
138,SJM,2025,2,2025-06-10,LOSER,DOWN,NEUTRAL,0.4,-15.59%,SKIP,1022
140,NTAP,2025,3,2025-02-27,LOSER,DOWN,NEUTRAL,0.4,-15.57%,SKIP,952
141,NCLH,2025,3,2025-11-04,LOSER,DOWN,UP,0.7,-15.28%,WRONG,609
160,PYPL,2024,4,2025-02-04,LOSER,DOWN,DOWN,0.3,-13.17%,CORRECT,1129
161,HRL,2025,3,2025-08-28,LOSER,DOWN,DOWN,0.3,-13.09%,CORRECT,929
162,COO,2025,3,2025-08-27,LOSER,DOWN,DOWN,0.3,-12.86%,CORRECT,717
163,IP,2025,2,2025-07-31,LOSER,DOWN,NEUTRAL,0.6,-12.85%,SKIP,523
164,EPAM,2024,4,2025-02-20,LOSER,DOWN,DOWN,0.3,-12.80%,CORRECT,339
165,IP,2025,3,2025-10-30,LOSER,DOWN,NEUTRAL,0.4,-12.66%,SKIP,362
166,NOC,2025,1,2025-04-22,LOSER,DOWN,DOWN,0.3,-12.66%,CORRECT,349
167,WDAY,2026,1,2025-05-22,LOSER,DOWN,NEUTRAL,0.4,-12.52%,SKIP,366
168,OTIS,2025,2,2025-07-23,LOSER,DOWN,NEUTRAL,0.4,-12.38%,SKIP,386
169,VST,2024,4,2025-02-27,LOSER,DOWN,NEUTRAL,0.6,-12.27%,SKIP,351
170,ELV,2025,2,2025-07-17,LOSER,DOWN,DOWN,0.3,-12.22%,CORRECT,367
171,SW,2025,3,2025-10-29,LOSER,DOWN,NEUTRAL,0.4,-12.18%,SKIP,387
172,PLTR,2025,1,2025-05-05,LOSER,DOWN,UP,0.8,-12.05%,WRONG,511
173,HPE,2025,1,2025-03-06,LOSER,DOWN,DOWN,0.3,-11.97%,CORRECT,309
174,TDG,2025,3,2025-08-05,LOSER,DOWN,NEUTRAL,0.6,-11.94%,SKIP,380
175,ZBRA,2025,3,2025-10-28,LOSER,DOWN,NEUTRAL,0.6,-11.68%,SKIP,358
176,LLY,2025,1,2025-05-01,LOSER,DOWN,NEUTRAL,0.4,-11.66%,SKIP,353
177,ZBH,2025,1,2025-05-05,LOSER,DOWN,NEUTRAL,0.6,-11.62%,SKIP,297
178,LKQ,2025,1,2025-04-24,LOSER,DOWN,NEUTRAL,0.4,-11.56%,SKIP,376
179,CPRT,2025,3,2025-05-22,LOSER,DOWN,NEUTRAL,0.4,-11.52%,SKIP,337
180,FIS,2024,4,2025-02-11,LOSER,DOWN,NEUTRAL,0.6,-11.49%,SKIP,350
181,GRMN,2025,3,2025-10-29,LOSER,DOWN,NEUTRAL,0.6,-11.48%,SKIP,370
182,NOW,2024,4,2025-01-29,LOSER,DOWN,NEUTRAL,0.6,-11.44%,SKIP,392
183,ZBRA,2025,2,2025-08-05,LOSER,DOWN,UP,0.7,-11.35%,WRONG,430
184,META,2025,3,2025-10-29,LOSER,DOWN,DOWN,0.3,-11.33%,CORRECT,412
185,SMCI,2026,1,2025-11-04,LOSER,DOWN,DOWN,0.3,-11.33%,CORRECT,394
186,IEX,2025,2,2025-07-30,LOSER,DOWN,DOWN,0.3,-11.29%,CORRECT,352
187,GDDY,2025,2,2025-08-07,LOSER,DOWN,UP,0.7,-11.25%,WRONG,338
188,TMUS,2025,1,2025-04-24,LOSER,DOWN,UP,0.7,-11.22%,WRONG,387
189,DVA,2024,4,2025-02-13,LOSER,DOWN,NEUTRAL,0.4,-11.09%,SKIP,355
190,CMCSA,2024,4,2025-01-30,LOSER,DOWN,NEUTRAL,0.4,-11.00%,SKIP,328
191,J,2025,4,2025-11-20,LOSER,DOWN,UP,0.7,-10.95%,WRONG,346
192,LMT,2025,2,2025-07-22,LOSER,DOWN,DOWN,0.2,-10.81%,CORRECT,368
193,HOOD,2025,3,2025-11-05,LOSER,DOWN,UP,0.7,-10.81%,WRONG,388
194,AKAM,2025,1,2025-05-08,LOSER,DOWN,NEUTRAL,0.6,-10.76%,SKIP,411
195,PAYC,2025,3,2025-11-05,LOSER,DOWN,NEUTRAL,0.4,-10.72%,SKIP,411
196,CARR,2025,2,2025-07-29,LOSER,DOWN,NEUTRAL,0.4,-10.61%,SKIP,425
197,LYV,2025,3,2025-11-04,LOSER,DOWN,UP,0.7,-10.59%,WRONG,361
198,UPS,2025,2,2025-07-29,LOSER,DOWN,DOWN,0.3,-10.57%,CORRECT,403
199,VRSK,2025,3,2025-10-29,LOSER,DOWN,NEUTRAL,0.4,-10.39%,SKIP,344
200,FDS,2025,4,2025-09-18,LOSER,DOWN,NEUTRAL,0.4,-10.36%,SKIP,348
