idx,symbol,company_name,sector,year,quarter,t_day,session,base_date,base_price,t30_date,t30_price,t30_change,predicted,confidence,hit_result,status,elapsed_seconds,error
39,APO,Apollo Global Management,Financial Services,2023,1,2023-05-09,BMO,2023-05-09,62.26,2023-06-22,74.87,20.25,UP,0.8,HIT,success,96.7,
40,APP,AppLovin Corporation,Technology,2023,1,2023-05-11,AMC,2023-05-12,21.51,2023-06-27,26.04,21.06,UP,0.8,HIT,success,92.1,
41,APTV,Aptiv,Consumer Cyclical,2023,1,2023-05-04,BMO,2023-05-04,92.05,2023-06-16,101.44,10.2,UP,0.8,HIT,success,690.9,
42,ARE,Alexandria Real Estate Equities,Real Estate,2023,1,2023-04-26,AMC,2023-04-27,122.72,2023-06-09,120.59,-1.74,UP,0.7,MISS,success,688.9,
43,ATO,Atmos Energy,Utilities,2023,1,2023-02-08,BMO,2023-02-08,116.45,2023-03-23,106.52,-8.53,UP,0.7,MISS,success,97.7,
44,AVB,AvalonBay Communities,Real Estate,2023,1,2023-04-27,BMO,2023-04-27,177.65,2023-06-09,188.31,6.0,UP,0.7,HIT,success,83.2,
45,AVGO,Broadcom,Technology,2023,1,2023-03-03,AMC,2023-03-06,63.29,2023-04-18,63.23,-0.09,UP,0.8,MISS,success,71.8,
46,AVY,Avery Dennison,Industrials,2023,1,2023-04-26,UNKNOWN,2023-04-27,169.46,2023-06-09,162.52,-4.1,DOWN,0.3,HIT,success,81.6,
47,AWK,American Water Works,Utilities,2023,1,2023-04-27,BMO,2023-04-27,148.46,2023-06-09,146.66,-1.21,UP,0.7,MISS,success,63.9,
48,AXON,Axon Enterprise,Industrials,2023,1,2023-05-10,BMO,2023-05-10,192.73,2023-06-23,188.71,-2.09,UP,0.8,MISS,success,670.1,
49,AXP,American Express,Financial Services,2023,1,2023-04-20,BMO,2023-04-20,163.28,2023-06-02,168.56,3.23,UP,0.8,HIT,success,89.0,
50,AZO,AutoZone,Consumer Cyclical,2023,1,2022-12-06,BMO,2022-12-06,2456.92,2023-01-20,2326.61,-5.3,UP,0.7,MISS,success,75.8,
51,BA,Boeing,Industrials,2023,1,2023-04-25,BMO,2023-04-25,202.19,2023-06-07,211.93,4.82,NEUTRAL,0.6,SKIP,success,682.9,
52,BAC,Bank of America,Financial Services,2023,1,2023-04-18,BMO,2023-04-18,30.56,2023-05-31,27.79,-9.06,UP,0.8,MISS,success,97.4,
53,BALL,Ball Corporation,Consumer Cyclical,2023,1,2023-05-04,BMO,2023-05-04,59.26,2023-06-16,58.43,-1.4,UP,0.7,MISS,success,82.6,
54,BAX,Baxter International,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,46.8,2023-06-09,41.97,-10.32,NEUTRAL,0.6,SKIP,success,85.1,
55,BBY,Best Buy,Consumer Cyclical,2023,1,2022-05-24,BMO,2022-05-24,73.47,2022-07-08,71.17,-3.13,DOWN,0.2,HIT,success,94.7,
56,BDX,Becton Dickinson,Healthcare,2023,1,2023-02-02,BMO,2023-02-02,248.47,2023-03-17,235.58,-5.19,UP,0.8,MISS,success,93.8,
57,BEN,Franklin Resources,Financial Services,2023,1,2023-01-30,BMO,2023-01-30,31.26,2023-03-14,27.32,-12.6,NEUTRAL,0.6,SKIP,success,86.7,
58,BG,Bunge Global,Consumer Defensive,2023,1,2023-05-03,BMO,2023-05-03,90.79,2023-06-15,94.2,3.76,UP,0.7,HIT,success,118.5,
59,BIIB,Biogen,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,282.41,2023-06-07,304.9,7.96,NEUTRAL,0.6,SKIP,success,107.9,
60,BK,BNY Mellon,Financial Services,2023,1,2023-04-18,BMO,2023-04-18,44.89,2023-05-31,40.2,-10.45,UP,0.7,MISS,success,82.3,
61,BKNG,Booking Holdings,Consumer Cyclical,2023,1,2023-05-05,AMC,2023-05-08,2639.47,2023-06-21,2643.8,0.16,UP,0.8,HIT,success,86.8,
62,BKR,Baker Hughes,Energy,2023,1,2023-04-19,BMO,2023-04-19,30.56,2023-06-01,28.61,-6.38,UP,0.7,MISS,success,104.1,
63,BLDR,Builders FirstSource,Industrials,2023,1,2023-05-03,BMO,2023-05-03,107.46,2023-06-15,123.01,14.47,UP,0.8,HIT,success,99.8,
64,BLK,BlackRock,Financial Services,2023,1,2023-04-14,BMO,2023-04-14,691.33,2023-05-26,672.3,-2.75,UP,0.7,MISS,success,81.9,
65,BMY,Bristol Myers Squibb,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,67.61,2023-06-09,64.8,-4.16,NEUTRAL,0.6,SKIP,success,86.1,
66,BR,Broadridge Financial Solutions,Technology,2023,1,2022-11-02,BMO,2022-11-02,137.73,2022-12-15,134.96,-2.01,UP,0.7,MISS,success,101.5,
67,BRO,Brown & Brown,Financial Services,2023,1,2023-04-25,BMO,2023-04-25,63.01,2023-06-07,63.44,0.68,UP,0.8,HIT,success,111.9,
68,BSX,Boston Scientific,Healthcare,2023,1,2023-04-26,BMO,2023-04-26,51.1,2023-06-08,51.07,-0.06,UP,0.8,MISS,success,89.8,
69,BX,Blackstone Inc.,Financial Services,2023,1,2023-04-20,BMO,2023-04-20,91.94,2023-06-02,89.0,-3.2,UP,0.7,MISS,success,98.6,
70,BXP,"BXP, Inc.",Real Estate,2023,1,2023-04-26,BMO,2023-04-26,51.18,2023-06-08,53.88,5.28,UP,0.7,HIT,success,104.0,
71,C,Citigroup,Financial Services,2023,1,2023-04-14,BMO,2023-04-14,49.56,2023-05-26,44.6,-10.01,UP,0.7,MISS,success,97.6,
72,CAG,Conagra Brands,Consumer Defensive,2023,1,2022-10-06,BMO,2022-10-06,32.56,2022-11-17,34.94,7.31,UP,0.8,HIT,success,102.7,
73,CAH,Cardinal Health,Healthcare,2023,1,2022-11-04,BMO,2022-11-04,79.52,2022-12-19,79.34,-0.23,UP,0.7,MISS,success,81.9,
74,CARR,Carrier Global,Industrials,2023,1,2023-04-27,BMO,2023-04-27,41.46,2023-06-09,45.3,9.26,DOWN,0.3,MISS,success,80.1,
75,CAT,Caterpillar Inc.,Industrials,2023,1,2023-04-27,BMO,2023-04-27,214.33,2023-06-09,235.03,9.66,UP,0.8,HIT,success,93.9,
76,CB,Chubb Limited,Financial Services,2023,1,2023-04-26,BMO,2023-04-26,198.37,2023-06-08,191.6,-3.41,UP,0.8,MISS,success,90.3,
77,CBOE,Cboe Global Markets,Financial Services,2023,1,2023-05-05,BMO,2023-05-05,136.58,2023-06-20,136.88,0.22,UP,0.8,HIT,success,91.4,
78,CBRE,CBRE Group,Real Estate,2023,1,2023-04-27,BMO,2023-04-27,76.14,2023-06-09,78.94,3.68,UP,0.7,HIT,success,81.8,
79,CCI,Crown Castle,Real Estate,2023,1,2023-04-20,BMO,2023-04-20,126.93,2023-06-02,114.0,-10.19,DOWN,0.3,HIT,success,73.4,
80,CCL,Carnival,Consumer Cyclical,2023,1,2023-03-27,BMO,2023-03-27,8.79,2023-05-09,10.65,21.16,UP,0.8,HIT,success,82.8,
81,CDNS,Cadence Design Systems,Technology,2023,1,2023-04-25,AMC,2023-04-26,203.61,2023-06-08,228.08,12.02,UP,0.8,HIT,success,91.0,
82,CDW,CDW,Technology,2023,1,2023-05-03,BMO,2023-05-03,164.97,2023-06-15,178.2,8.02,DOWN,0.2,MISS,success,92.7,
83,CEG,Constellation Energy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,79.49,2023-06-20,91.99,15.73,UP,0.8,HIT,success,91.8,
84,CF,CF Industries,Basic Materials,2023,1,2023-05-02,BMO,2023-05-02,74.06,2023-06-14,67.8,-8.45,NEUTRAL,0.6,SKIP,success,86.5,
85,CFG,Citizens Financial Group,Financial Services,2023,1,2023-04-19,BMO,2023-04-19,30.5,2023-06-01,26.39,-13.48,DOWN,0.3,HIT,success,103.2,
86,CHD,Church & Dwight,Consumer Defensive,2023,1,2023-04-27,BMO,2023-04-27,97.3,2023-06-09,94.1,-3.29,UP,0.8,MISS,success,95.7,
87,CHRW,C.H. Robinson,Industrials,2023,1,2023-04-27,AMC,2023-04-28,100.87,2023-06-12,90.32,-10.46,DOWN,0.2,HIT,success,88.5,
88,CHTR,Charter Communications,Communication Services,2023,1,2023-04-28,BMO,2023-04-28,368.7,2023-06-12,335.3,-9.06,NEUTRAL,0.6,SKIP,success,77.1,
89,CI,Cigna,Healthcare,2023,1,2023-05-05,BMO,2023-05-05,260.74,2023-06-20,270.05,3.57,UP,0.8,HIT,success,77.1,
90,CINF,Cincinnati Financial,Financial Services,2023,1,2023-04-28,UNKNOWN,2023-05-01,105.33,2023-06-13,102.92,-2.29,DOWN,0.3,HIT,success,99.1,
91,CL,Colgate-Palmolive,Consumer Defensive,2023,1,2023-04-28,BMO,2023-04-28,79.8,2023-06-12,75.72,-5.11,UP,0.8,MISS,success,111.7,
92,CLX,Clorox,Consumer Defensive,2023,1,2022-11-02,AMC,2022-11-03,138.23,2022-12-16,144.6,4.61,UP,0.7,HIT,success,81.0,
93,CMCSA,Comcast,Communication Services,2023,1,2023-04-27,BMO,2023-04-27,40.27,2023-06-09,40.23,-0.1,UP,0.7,MISS,success,74.0,
94,CME,CME Group,Financial Services,2023,1,2023-04-26,BMO,2023-04-26,184.93,2023-06-08,185.45,0.28,UP,0.8,HIT,success,69.0,
95,CMG,Chipotle Mexican Grill,Consumer Cyclical,2023,1,2023-04-26,AMC,2023-04-27,40.73,2023-06-09,40.81,0.2,UP,0.8,HIT,success,102.7,
96,CMI,Cummins,Industrials,2023,1,2023-05-02,BMO,2023-05-02,227.64,2023-06-14,234.31,2.93,UP,0.7,HIT,success,87.4,
97,CMS,CMS Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,62.5,2023-06-09,60.69,-2.9,UP,0.7,MISS,success,89.7,
98,CNC,Centene Corporation,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,69.29,2023-06-07,67.69,-2.31,DOWN,0.3,HIT,success,88.9,
99,CNP,CenterPoint Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,30.82,2023-06-09,28.95,-6.07,UP,0.7,MISS,success,75.8,
100,COF,Capital One,Financial Services,2023,1,2023-04-28,AMC,2023-05-01,93.17,2023-06-13,113.65,21.98,DOWN,0.3,MISS,success,98.4,
101,COIN,Coinbase Global,Financial Services,2023,1,2023-05-05,AMC,2023-05-08,58.1,2023-06-21,58.1,0.0,UP,0.8,MISS,success,73.0,
102,COO,Cooper Companies (The),Healthcare,2023,1,2023-03-03,AMC,2023-03-06,86.5,2023-04-18,94.51,9.26,UP,0.8,HIT,success,80.6,
103,COP,ConocoPhillips,Energy,2023,1,2023-05-04,UNKNOWN,2023-05-05,100.37,2023-06-20,102.03,1.65,UP,0.7,HIT,success,78.4,
104,COR,Cencora,Healthcare,2023,1,2023-02-01,UNKNOWN,2023-02-02,158.47,2023-03-17,152.02,-4.07,UP,0.7,MISS,success,106.3,
105,COST,Costco,Consumer Defensive,2023,1,2022-12-09,AMC,2022-12-12,487.68,2023-01-26,498.3,2.18,NEUTRAL,0.6,SKIP,success,109.4,
106,CPAY,Corpay,Technology,2023,1,2023-05-04,AMC,2023-05-05,231.19,2023-06-20,242.48,4.88,UP,0.8,HIT,success,104.7,
107,CPB,Campbell Soup Company,Consumer Defensive,2023,1,2022-12-07,BMO,2022-12-07,56.18,2023-01-23,51.58,-8.19,UP,0.8,MISS,success,84.4,
108,CPRT,Copart,Consumer Cyclical,2023,1,2022-11-17,BMO,2022-11-17,32.07,2023-01-03,30.73,-4.18,DOWN,0.3,HIT,success,86.5,
109,CPT,Camden Property Trust,Real Estate,2023,1,2023-04-28,UNKNOWN,2023-05-01,111.27,2023-06-13,112.53,1.13,NEUTRAL,0.6,SKIP,success,73.4,
110,CRL,Charles River Laboratories,Healthcare,2023,1,2023-05-11,BMO,2023-05-11,195.75,2023-06-26,206.3,5.39,UP,0.7,HIT,success,100.9,
111,CRM,Salesforce,Technology,2023,1,2022-06-01,AMC,2022-06-02,188.4,2022-07-18,167.89,-10.89,UP,0.7,MISS,success,83.7,
112,CRWD,CrowdStrike,Technology,2023,1,2022-06-03,AMC,2022-06-06,168.97,2022-07-20,184.3,9.07,UP,0.8,HIT,success,83.6,
113,CSCO,Cisco,Technology,2023,1,2022-11-16,UNKNOWN,2022-11-17,46.59,2023-01-03,47.94,2.9,UP,0.8,HIT,success,83.1,
114,CSGP,CoStar Group,Real Estate,2023,1,2023-04-26,AMC,2023-04-27,77.17,2023-06-09,80.14,3.85,UP,0.7,HIT,success,83.3,
115,CSX,CSX Corporation,Industrials,2023,1,2023-04-21,AMC,2023-04-24,31.38,2023-06-06,31.94,1.78,UP,0.7,HIT,success,75.8,
116,CTAS,Cintas,Industrials,2023,1,2022-09-28,UNKNOWN,2022-09-29,97.39,2022-11-10,111.13,14.11,UP,0.8,HIT,success,75.5,
117,CTRA,Coterra,Energy,2023,1,2023-05-05,BMO,2023-05-05,25.09,2023-06-20,24.44,-2.59,UP,0.7,MISS,success,87.7,
118,CTSH,Cognizant,Technology,2023,1,2023-05-04,AMC,2023-05-05,63.29,2023-06-20,64.64,2.13,NEUTRAL,0.4,SKIP,success,75.7,
119,CTVA,Corteva,Basic Materials,2023,1,2023-05-04,BMO,2023-05-04,56.88,2023-06-16,57.23,0.62,UP,0.8,HIT,success,85.9,
120,CVS,CVS Health,Healthcare,2023,1,2023-05-03,BMO,2023-05-03,70.08,2023-06-15,69.5,-0.83,UP,0.7,MISS,success,87.3,
121,CVX,Chevron Corporation,Energy,2023,1,2023-04-28,BMO,2023-04-28,168.58,2023-06-12,157.33,-6.67,UP,0.7,MISS,success,82.0,
122,D,Dominion Energy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,56.49,2023-06-20,53.17,-5.88,DOWN,0.3,HIT,success,88.1,
123,DAL,Delta Air Lines,Industrials,2023,1,2023-04-13,BMO,2023-04-13,33.37,2023-05-25,35.75,7.13,UP,0.8,HIT,success,86.2,
124,DASH,DoorDash,Communication Services,2023,1,2023-05-05,AMC,2023-05-08,66.77,2023-06-21,72.91,9.2,UP,0.8,HIT,success,64.6,
125,DAY,Dayforce,Technology,2023,1,2023-05-04,AMC,2023-05-05,56.7,2023-06-20,67.36,18.8,UP,0.8,HIT,success,106.7,
126,DD,DuPont,Basic Materials,2023,1,2023-05-02,BMO,2023-05-02,27.21,2023-06-14,29.26,7.53,DOWN,0.3,MISS,success,81.0,
127,DDOG,Datadog,Technology,2023,1,2023-05-04,BMO,2023-05-04,75.4,2023-06-16,95.75,26.99,DOWN,0.3,MISS,success,70.2,
128,DE,Deere & Company,Industrials,2023,1,2023-02-17,BMO,2023-02-17,433.31,2023-04-03,414.99,-4.23,UP,0.8,MISS,success,79.3,
129,DECK,Deckers Brands,Consumer Cyclical,2023,1,2022-07-29,AMC,2022-08-01,52.34,2022-09-13,55.61,6.25,UP,0.8,HIT,success,95.5,
130,DELL,Dell Technologies,Technology,2023,1,2022-05-27,AMC,2022-05-31,49.94,2022-07-14,42.7,-14.5,UP,0.8,MISS,success,76.2,
131,DG,Dollar General,Consumer Defensive,2023,1,2023-06-01,BMO,2023-06-01,161.86,2023-07-17,161.13,-0.45,DOWN,0.2,HIT,success,86.2,
132,DGX,Quest Diagnostics,Healthcare,2023,1,2023-04-27,BMO,2023-04-27,141.01,2023-06-09,134.55,-4.58,UP,0.7,MISS,success,86.7,
133,DHI,D. R. Horton,Consumer Cyclical,2023,1,2023-01-24,BMO,2023-01-24,97.0,2023-03-08,93.79,-3.31,DOWN,0.3,HIT,success,100.9,
134,DHR,Danaher Corporation,Healthcare,2023,1,2023-04-25,BMO,2023-04-25,205.64,2023-06-07,210.54,2.38,DOWN,0.3,MISS,success,85.3,
135,DIS,Walt Disney Company (The),Communication Services,2023,1,2023-02-09,AMC,2023-02-10,108.06,2023-03-27,95.62,-11.51,UP,0.7,MISS,success,99.3,
136,DLR,Digital Realty,Real Estate,2023,1,2023-04-28,AMC,2023-05-01,96.93,2023-06-13,104.98,8.3,UP,0.7,HIT,success,83.3,
137,DLTR,Dollar Tree,Consumer Defensive,2023,1,2023-05-25,BMO,2023-05-25,136.66,2023-07-11,147.51,7.94,DOWN,0.2,MISS,success,113.6,
138,DOC,Healthpeak Properties,Real Estate,2023,1,2023-05-04,BMO,2023-05-04,21.38,2023-06-16,20.67,-3.32,NEUTRAL,0.6,SKIP,success,111.9,
139,DOV,Dover Corporation,Industrials,2023,1,2023-04-26,BMO,2023-04-26,140.81,2023-06-08,142.3,1.06,UP,0.7,HIT,success,79.9,
140,DOW,Dow Inc.,Basic Materials,2023,1,2023-04-25,BMO,2023-04-25,52.5,2023-06-07,53.87,2.61,UP,0.7,HIT,success,80.5,
141,DPZ,Domino's,Consumer Cyclical,2023,1,2023-04-27,BMO,2023-04-27,317.14,2023-06-09,298.07,-6.01,DOWN,0.3,HIT,success,85.4,
142,DRI,Darden Restaurants,Consumer Cyclical,2023,1,2022-09-23,BMO,2022-09-23,122.39,2022-11-04,141.34,15.48,NEUTRAL,0.6,SKIP,success,694.7,
143,DTE,DTE Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,113.45,2023-06-09,111.43,-1.78,NEUTRAL,0.6,SKIP,success,102.2,
144,DUK,Duke Energy,Utilities,2023,1,2023-05-09,BMO,2023-05-09,98.05,2023-06-22,90.9,-7.29,NEUTRAL,0.6,SKIP,success,82.0,
145,DVA,DaVita,Healthcare,2023,1,2023-05-09,AMC,2023-05-10,99.27,2023-06-23,97.73,-1.55,UP,0.7,MISS,success,83.3,
146,DVN,Devon Energy,Energy,2023,1,2023-05-09,BMO,2023-05-09,49.17,2023-06-22,47.69,-3.01,UP,0.7,MISS,success,100.4,
147,DXCM,Dexcom,Healthcare,2023,1,2023-04-27,UNKNOWN,2023-04-28,121.34,2023-06-12,126.91,4.59,UP,0.8,HIT,success,99.2,
148,EA,Electronic Arts,Technology,2023,1,2022-08-03,AMC,2022-08-04,133.24,2022-09-16,121.74,-8.63,UP,0.7,MISS,success,95.6,
149,EBAY,eBay,Consumer Cyclical,2023,1,2023-04-27,AMC,2023-04-28,46.43,2023-06-12,45.12,-2.82,UP,0.7,MISS,success,97.0,
150,ECL,Ecolab,Basic Materials,2023,1,2023-05-02,UNKNOWN,2023-05-03,173.34,2023-06-15,182.22,5.12,UP,0.7,HIT,success,81.9,
151,EFX,Equifax,Industrials,2023,1,2023-04-20,BMO,2023-04-20,202.23,2023-06-02,213.65,5.65,UP,0.7,HIT,success,102.4,
152,EG,Everest Group,Financial Services,2023,1,2023-05-02,BMO,2023-05-02,382.0,2023-06-14,341.11,-10.7,UP,0.8,MISS,success,103.3,
153,EIX,Edison International,Utilities,2023,1,2023-05-03,AMC,2023-05-04,72.49,2023-06-16,70.18,-3.19,UP,0.7,MISS,success,75.6,
154,EL,Estée Lauder Companies (The),Consumer Defensive,2023,1,2022-11-02,BMO,2022-11-02,189.96,2022-12-15,240.6,26.66,DOWN,0.2,MISS,success,76.4,
155,ELV,Elevance Health,Healthcare,2023,1,2023-04-19,BMO,2023-04-19,457.33,2023-06-01,464.43,1.55,UP,0.8,HIT,success,83.9,
156,EME,"EMCOR Group, Inc.",Industrials,2023,1,2023-04-27,BMO,2023-04-27,171.44,2023-06-09,174.59,1.84,UP,0.8,HIT,success,89.6,
157,EMR,Emerson Electric,Industrials,2023,1,2023-02-08,BMO,2023-02-08,85.99,2023-03-23,83.1,-3.36,UP,0.7,MISS,success,104.3,
158,EOG,EOG Resources,Energy,2023,1,2023-05-05,BMO,2023-05-05,114.17,2023-06-20,110.33,-3.36,UP,0.7,MISS,success,87.0,
159,EPAM,EPAM Systems,Technology,2023,1,2023-05-05,BMO,2023-05-05,242.47,2023-06-20,219.15,-9.62,DOWN,0.2,HIT,success,93.6,
160,EQIX,Equinix,Real Estate,2023,1,2023-05-04,AMC,2023-05-05,740.0,2023-06-20,780.24,5.44,UP,0.8,HIT,success,79.1,
161,EQR,Equity Residential,Real Estate,2023,1,2023-04-26,BMO,2023-04-26,60.25,2023-06-08,65.23,8.27,UP,0.7,HIT,success,80.8,
162,EQT,EQT Corporation,Energy,2023,1,2023-04-28,AMC,2023-05-01,34.27,2023-06-13,38.94,13.63,UP,0.7,HIT,success,109.6,
163,ERIE,Erie Indemnity,Financial Services,2023,1,2023-04-28,BMO,2023-04-28,217.33,2023-06-12,217.54,0.1,DOWN,0.3,MISS,success,57.5,
164,ES,Eversource Energy,Utilities,2023,1,2023-05-04,BMO,2023-05-04,76.72,2023-06-16,72.08,-6.05,UP,0.7,MISS,success,81.7,
165,ESS,Essex Property Trust,Real Estate,2023,1,2023-04-28,BMO,2023-04-28,219.73,2023-06-12,231.83,5.51,UP,0.7,HIT,success,78.5,
166,ETN,Eaton Corporation,Industrials,2023,1,2023-05-02,BMO,2023-05-02,173.25,2023-06-14,193.07,11.44,UP,0.9,HIT,success,98.6,
167,ETR,Entergy,Utilities,2023,1,2023-04-26,BMO,2023-04-26,52.53,2023-06-08,50.75,-3.39,UP,0.7,MISS,success,68.9,
168,EVRG,Evergy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,62.59,2023-06-20,58.85,-5.98,NEUTRAL,0.6,SKIP,success,86.0,
169,EW,Edwards Lifesciences,Healthcare,2023,1,2023-04-26,UNKNOWN,2023-04-27,86.72,2023-06-09,84.1,-3.02,UP,0.8,MISS,success,74.6,
170,EXC,Exelon,Utilities,2023,1,2023-05-03,BMO,2023-05-03,42.33,2023-06-15,40.82,-3.57,UP,0.7,MISS,success,106.0,
