symbol,company_name,sector,year,quarter,t_day,session,base_date,base_price,t30_date,t30_price,t30_change,predicted,confidence,hit_result,status,elapsed_seconds,error
DLTR,Dollar Tree,Consumer Defensive,2023,1,2023-05-25,BMO,2023-05-25,136.66,2023-07-11,147.51,7.94,DOWN,0.2,MISS,success,113.6,
DOC,Healthpeak Properties,Real Estate,2023,1,2023-05-04,BMO,2023-05-04,21.38,2023-06-16,20.67,-3.32,NEUTRAL,0.6,SKIP,success,111.9,
DOV,Dover Corporation,Industrials,2023,1,2023-04-26,BMO,2023-04-26,140.81,2023-06-08,142.3,1.06,UP,0.7,HIT,success,79.9,
DOW,Dow Inc.,Basic Materials,2023,1,2023-04-25,BMO,2023-04-25,52.5,2023-06-07,53.87,2.61,UP,0.7,HIT,success,80.5,
DPZ,Domino's,Consumer Cyclical,2023,1,2023-04-27,BMO,2023-04-27,317.14,2023-06-09,298.07,-6.01,DOWN,0.3,HIT,success,85.4,
DRI,Darden Restaurants,Consumer Cyclical,2023,1,2022-09-23,BMO,2022-09-23,122.39,2022-11-04,141.34,15.48,NEUTRAL,0.6,SKIP,success,694.7,
DTE,DTE Energy,Utilities,2023,1,2023-04-27,BMO,2023-04-27,113.45,2023-06-09,111.43,-1.78,NEUTRAL,0.6,SKIP,success,102.2,
DUK,Duke Energy,Utilities,2023,1,2023-05-09,BMO,2023-05-09,98.05,2023-06-22,90.9,-7.29,NEUTRAL,0.6,SKIP,success,82.0,
DVA,DaVita,Healthcare,2023,1,2023-05-09,AMC,2023-05-10,99.27,2023-06-23,97.73,-1.55,UP,0.7,MISS,success,83.3,
DVN,Devon Energy,Energy,2023,1,2023-05-09,BMO,2023-05-09,49.17,2023-06-22,47.69,-3.01,UP,0.7,MISS,success,100.4,
DXCM,Dexcom,Healthcare,2023,1,2023-04-27,UNKNOWN,2023-04-28,121.34,2023-06-12,126.91,4.59,UP,0.8,HIT,success,99.2,
EA,Electronic Arts,Technology,2023,1,2022-08-03,AMC,2022-08-04,133.24,2022-09-16,121.74,-8.63,UP,0.7,MISS,success,95.6,
EBAY,eBay,Consumer Cyclical,2023,1,2023-04-27,AMC,2023-04-28,46.43,2023-06-12,45.12,-2.82,UP,0.7,MISS,success,97.0,
ECL,Ecolab,Basic Materials,2023,1,2023-05-02,UNKNOWN,2023-05-03,173.34,2023-06-15,182.22,5.12,UP,0.7,HIT,success,81.9,
EFX,Equifax,Industrials,2023,1,2023-04-20,BMO,2023-04-20,202.23,2023-06-02,213.65,5.65,UP,0.7,HIT,success,102.4,
EG,Everest Group,Financial Services,2023,1,2023-05-02,BMO,2023-05-02,382.0,2023-06-14,341.11,-10.7,UP,0.8,MISS,success,103.3,
EIX,Edison International,Utilities,2023,1,2023-05-03,AMC,2023-05-04,72.49,2023-06-16,70.18,-3.19,UP,0.7,MISS,success,75.6,
EL,Estée Lauder Companies (The),Consumer Defensive,2023,1,2022-11-02,BMO,2022-11-02,189.96,2022-12-15,240.6,26.66,DOWN,0.2,MISS,success,76.4,
ELV,Elevance Health,Healthcare,2023,1,2023-04-19,BMO,2023-04-19,457.33,2023-06-01,464.43,1.55,UP,0.8,HIT,success,83.9,
EME,"EMCOR Group, Inc.",Industrials,2023,1,2023-04-27,BMO,2023-04-27,171.44,2023-06-09,174.59,1.84,UP,0.8,HIT,success,89.6,
EMR,Emerson Electric,Industrials,2023,1,2023-02-08,BMO,2023-02-08,85.99,2023-03-23,83.1,-3.36,UP,0.7,MISS,success,104.3,
EOG,EOG Resources,Energy,2023,1,2023-05-05,BMO,2023-05-05,114.17,2023-06-20,110.33,-3.36,UP,0.7,MISS,success,87.0,
EPAM,EPAM Systems,Technology,2023,1,2023-05-05,BMO,2023-05-05,242.47,2023-06-20,219.15,-9.62,DOWN,0.2,HIT,success,93.6,
EQIX,Equinix,Real Estate,2023,1,2023-05-04,AMC,2023-05-05,740.0,2023-06-20,780.24,5.44,UP,0.8,HIT,success,79.1,
EQR,Equity Residential,Real Estate,2023,1,2023-04-26,BMO,2023-04-26,60.25,2023-06-08,65.23,8.27,UP,0.7,HIT,success,80.8,
EQT,EQT Corporation,Energy,2023,1,2023-04-28,AMC,2023-05-01,34.27,2023-06-13,38.94,13.63,UP,0.7,HIT,success,109.6,
ERIE,Erie Indemnity,Financial Services,2023,1,2023-04-28,BMO,2023-04-28,217.33,2023-06-12,217.54,0.1,DOWN,0.3,MISS,success,57.5,
ES,Eversource Energy,Utilities,2023,1,2023-05-04,BMO,2023-05-04,76.72,2023-06-16,72.08,-6.05,UP,0.7,MISS,success,81.7,
ESS,Essex Property Trust,Real Estate,2023,1,2023-04-28,BMO,2023-04-28,219.73,2023-06-12,231.83,5.51,UP,0.7,HIT,success,78.5,
ETN,Eaton Corporation,Industrials,2023,1,2023-05-02,BMO,2023-05-02,173.25,2023-06-14,193.07,11.44,UP,0.9,HIT,success,98.6,
ETR,Entergy,Utilities,2023,1,2023-04-26,BMO,2023-04-26,52.53,2023-06-08,50.75,-3.39,UP,0.7,MISS,success,68.9,
EVRG,Evergy,Utilities,2023,1,2023-05-05,BMO,2023-05-05,62.59,2023-06-20,58.85,-5.98,NEUTRAL,0.6,SKIP,success,86.0,
EW,Edwards Lifesciences,Healthcare,2023,1,2023-04-26,UNKNOWN,2023-04-27,86.72,2023-06-09,84.1,-3.02,UP,0.8,MISS,success,74.6,
EXC,Exelon,Utilities,2023,1,2023-05-03,BMO,2023-05-03,42.33,2023-06-15,40.82,-3.57,UP,0.7,MISS,success,106.0,
EXE,Expand Energy,Energy,2023,1,2023-04-28,BMO,2023-04-28,82.68,2023-06-12,78.94,-4.52,NEUTRAL,0.6,SKIP,success,88.9,
EXPE,Expedia Group,Consumer Cyclical,2023,1,2023-05-05,AMC,2023-05-08,92.48,2023-06-21,105.01,13.55,NEUTRAL,0.6,SKIP,success,98.1,
EXR,Extra Space Storage,Real Estate,2023,1,2023-05-03,UNKNOWN,2023-05-04,150.79,2023-06-16,145.28,-3.65,UP,0.7,MISS,success,85.1,
F,Ford Motor Company,Consumer Cyclical,2023,1,2023-05-02,UNKNOWN,2023-05-03,11.79,2023-06-15,14.45,22.56,UP,0.7,HIT,success,93.8,
